"","REF. NO.","PART NO.","Capacitor Type","Value","Voltage rating","Description/Remark"
"","C301","8300132","Ceramic (TC)","68pF","50V",""
"","C302","8110219","Electolytic","100uF","10V",""
"","C303","8110219","Electolytic","100uF","10V",""
"","C304","8110217","Electolytic","47uF","10V",""
"","C305","8110217","Electolytic","47uF","10V",""
"","C306","8110315","Electolytic","22uF","16V",""
"","C308","2140617","Electolytic","47uF","100V",""
"","C309","8201046","Ceramic (Hi-K)","270pF","500V",""
"","C310","","","33pF","50V","Listed on schematic, not in BOM, check PCB"
"","C401","8110313","Electolytic","10uF","16V",""
"","C402","2140325","Electolytic","1000uF","16V",""
"","C403","8110313","Electolytic","10uF","16V",""
"","C404","8110317","Electolytic","47uF","16V",""
"","C405","8200978","Ceramic (Hi-K)","104pF","50V",""
"","C406","2140321","Electolytic","220uF","16V",""
"","C601","8110501","Electolytic","0.1uF","50V",""
"","C602","8300146","Ceramic (TC)","270pF","50V",""
"","C603","181-057D","Polyester","0.1uF","100V",""
"","C604","181-057D","Polyester","0.1uF","100V",""
"","C605","181-057D","Polyester","0.1uF","100V",""
"","C606","8300146","Ceramic (TC)","270pF","50V",""
"","C607","8300150","Ceramic (TC)","390pF","50V",""
"","C608","8110313","Electolytic","10uF","16V",""
"","C609","181-057D","Polyester","0.1uF","100V",""
"","C610","2140327","Electolytic","2200uF","16V",""
"","C611","2140321","Electolytic","220uF","16V",""
"","C612","2140321","Electolytic","220uF","16V",""
"","C701","8700323","Mylar","2.2nF","100V",""
"","C702","8200978","Ceramic (Hi-K)","104pF","50V",""
"","C703","8700334","Mylar","3.3nF","100V",""
"","C704","8700334","Mylar","3.3nF","100V",""
"","C705","8300140","Ceramic (TC)","150pF","50V",""
"","C706","8110505","Electolytic","0.47uF","50V",""
"","C707","181-143H","Polypropylene","2.2nF","100V",""
"","C708","2706527","Mylar","4.7nF","100V",""
"","C709","8110317","Electolytic","47uF","16V",""
"","C710","8200972","Ceramic (Hi-K)","103pF","50V",""
"","C711","181-059S","Polypropylene","3.3nF","200V",""
"","C712","8110511","Electolytic","4.7uF","50V",""
"","C713","8200972","Ceramic (Hi-K)","103pF","50V",""
"","C714","2140522","Electolytic","330uF","50V",""
"","C715","181-060P","Polypropylene","2.2nF","400V",""
"","C716","181-020J","Bipolar","2.2uF","50V",""
"","C717","2140617","Electolytic","47uF","100V",""
"","C718","2140619","Electolytic","100uF","100V",""
"âš ","C719","2201472","Ceramic (Hi-K)","10nF","1KV","Critical component"
"","C725","2201472","Ceramic (Hi-K)","10nF","1KV",""
"","C901","181-142A","MPP (?)","0.15uF","250V",""
"","C904","181-048J","DE (?)","2.2nF"," ?",""
"","C905","181-048J","DE (?)","2.2nF"," ?",""
"","C906","181-142A","MPP (?)","0.15uF","250V",""
"","C907","181-124M","Electolytic","120uF","400V",""
"","C908","2706529","Mylar","6.8nF","100V",""
"","C909","2140417","Electolytic","47uF","25V",""
"","C910","8300120","Ceramic (TC)","22pF","50V",""
"","C911","8110219","Electolytic","100uF","10V",""
"","C912","8110507","Electolytic","1uF","50V",""
"","C913","2706527","Mylar","4.7nF","100V",""
"","C914","8110219","Electolytic","100uF","10V",""
"","C915","181-061P","Polypropylene","2.7nF","630V",""
"","C930","8201046","Ceramic (Hi-K)","270pF","500V",""
"","C931","181-254B","Electolytic","470uF","35V",""
"","C932","2140519","Electolytic","100uF","50V",""
"","C933","8201046","Ceramic (Hi-K)","270pF","500V",""
"","C934","181-254C","Electolytic","1000uF","25V",""
"","C935","2140323","Electolytic","470uF","16V",""