"","REF. NO.","PART NO.","Resistor Type","Power rating","Ohm value","Tolerance","Description/Remark"
"","R301","1157085","Carbon Film","0.125W","330R","±5%",""
"","R302","1157081","Carbon Film","0.125W","220R","±5%",""
"","R303","1157083","Carbon Film","0.125W","270R","±5%",""
"","R304","1157088","Carbon Film","0.125W","430R","±5%",""
"","R305","1157081","Carbon Film","0.125W","220R","±5%",""
"","R307","1157075","Carbon Film","0.125W","120R","±5%",""
"","R308","1157065","Carbon Film","0.125W","47R","±5%",""
"","R309","1157084","Carbon Film","0.125W","300R","±5%",""
"","R310","1157071","Carbon Film","0.125W","82R","±5%",""
"","R311","1157075","Carbon Film","0.125W","120R","±5%",""
"","R313","1154075","Carbon Film","0.5W","120R","±5%",""
"","R314","1154075","Carbon Film","0.5W","120R","±5%",""
"","R315","1154075","Carbon Film","0.5W","120R","±5%",""
"","R316","1154075","Carbon Film","0.5W","120R","±5%",""
"","R317","1154075","Carbon Film","0.5W","120R","±5%",""
"","R318","1157079","Carbon Film","0.125W","180R","±5%",""
"","R320","1157088","Carbon Film","0.125W","430R","±5%",""
"","R401","1335073","Carbon Film","2W","100R","±5%",""
"","R402","1157121","Carbon Film","0.125W","10K","±5%",""
"","R403","1157097","Carbon Film","0.125W","1K","±5%",""
"","R404","1157115","Carbon Film","0.125W","5K6","±5%",""
"","R405","1157093","Carbon Film","0.125W","680R","±5%",""
"","R406","1157093","Carbon Film","0.125W","680R","±5%",""
"","R407","1157115","Carbon Film","0.125W","5K6","±5%",""
"","R408","1157087","Carbon Film","0.125W","390R","±5%",""
"","R601","1157110","Carbon Film","0.125W","3K6","±5%",""
"","R602","1157083","Carbon Film","0.125W","270R","±5%",""
"","R603","1160145","Carbon Film","0.125W","100K","±5%",""
"","R604","1160146","Carbon Film","0.125W","110K","±5%",""
"","R605","1521025","Carbon Film","1W","1R","±5%",""
"","R606","1157157","Carbon Film","0.125W","330K","±5%",""
"","R607","1157161","Carbon Film","0.125W","470K","±5%",""
"","R608","1157132","Carbon Film","0.125W","30K","±5%",""
"","R609","1157129","Carbon Film","0.125W","22K","±5%",""
"","R610","1157145","Carbon Film","0.125W","100K","±5%",""
"","R611","1157115","Carbon Film","0.125W","5K6","±5%",""
"","R612","1157117","Carbon Film","0.125W","6K8","±5%",""
"","R613","1157115","Carbon Film","0.125W","5K6","±5%",""
"","R614","1157029","Carbon Film","0.125W","1R5","±5%",""
"","R615","1157037","Carbon Film","0.125W","3R3","±5%",""
"","R616","1154083","Carbon Film","0.5W","270R","±5%",""
"","R701","1157073","Carbon Film","0.125W","100R","±5%",""
"","R702","1157114","Carbon Film","0.125W","5K1","±5%",""
"","R703","1157097","Carbon Film","0.125W","1K","±5%",""
"","R704","1157134","Carbon Film","0.125W","36K","±5%",""
"","R705","1157130","Carbon Film","0.125W","24K","±5%",""
"","R706","1157138","Carbon Film","0.125W","51K","±5%",""
"","R707","1157055","Carbon Film","0.125W","81R","±5%",""
"","R708","1160122","Carbon Film","0.125W","11K","±5%",""
"","R709","1160101","Carbon Film","0.125W","1K5","±5%",""
"","R710","1154075","Carbon Film","0.5W","120R","±5%",""
"","R711","1157112","Carbon Film","0.125W","4K3","±5%",""
"","R712","1332075","Carbon Film","1W","120R","±5%",""
"","R713","1332095","Carbon Film","1W","820R","±5%",""
"","R714","1154095","Carbon Film","0.5W","820R","±5%",""
"","R715","1157137","Carbon Film","0.125W","47K","±5%",""
"","R716","1157140","Carbon Film","0.125W","62K","±5%",""
"","R717","1157133","Carbon Film","0.125W","33K","±5%",""
"","R718","1157133","Carbon Film","0.125W","33K","±5%",""
"","R719","1157177","Carbon Film","0.125W","2M2","±5%",""
"","R720","1157133","Carbon Film","0.125W","33K","±5%",""
"","R721","1157156","Carbon Film","0.125W","300K","±5%",""
"","R722","1157061","Carbon Film","0.125W","33R","±5%",""
"","R723","1332061","Carbon Film","1W","33R","±5%",""
"","R725","1157124","Carbon Film","0.125W","13K","±5%",""
"","R901","1154153","Carbon Film","0.5W","220K","±5%",""
"","R902","180-142V","Cement","5W","4R7","±5%",""
"","R903","1154158","Carbon Film","0.5W","360K","±5%",""
"","R904","180-304U","Metal oxide","3W","18K","±5%",""
"","R905","1154155","Carbon Film","0.5W","270K","±5%",""
"","R906","1157145","Carbon Film","0.125W","100K","±5%",""
"","R907","1157081","Carbon Film","0.125W","220R","±5%",""
"","R908","1157099","Carbon Film","0.125W","1K2","±5%",""
"","R909","1157126","Carbon Film","0.125W","16K","±5%",""
"","R910","1157121","Carbon Film","0.125W","10K","±5%",""
"","R911","1157027","Carbon Film","0.125W","1R2","±5%",""
"","R912","180-3040","Metal oxide","3W","150R","±5%",""
"","R913","1157059","Carbon Film","0.125W","27R","±5%",""
"","R914","180-165A","Cement","5W","330R","±5%",""
"","R920","1160101","Carbon Film","0.125W","1K5","±2%",""
"","REF. NO.","PART NO.","Resistor Type","Part","Value","",""
"","VR601","180-021R","SEMIFIX","SR-19R","220KB","","Trimmer pot"
"","VR602","180-0210","SEMIFIX","SR-19R","100KB","","Trimmer pot"
"","VR701","180-021M","SEMIFIX","SR-19R","330B","","Trimmer pot"
"","VR702","180-0210","SEMIFIX","SR-19R","100KB","","Trimmer pot"
"⚠","VR703","180-375B","SEMIFIX","H1021A","(0.5W)","","Trimmer pot, critical component"
"","VR901","180-098E","SEMIFIX","SR-19R","4.7K","","Trimmer pot"
"","P302","180-324B","VARIABLE","","","","Unknown part, recommended service part"