"","REF. NO.","PART NO.","PART","Description/Remarks"
"","Q301","6120244","2N2369","Recommended service part."
"","Q302","6120244","2N2369","Recommended service part."
"","Q303","6179460","KTC1959-0 (TA)","Recommended service part."
"","Q304","6150049","2N3904","Recommended service part."
"","Q305","6179487","2SC3503","Recommended service part."
"","Q401","6179460","KTC1959-0 (TA)","Recommended service part."
"","Q402","6179460","KTC1959-0 (TA)","Recommended service part."
"","Q403","6100094","KTA562TM-O (TA)","Recommended service part."
"","Q701","6120203","KTC200-Y","Recommended service part."
"⚠","Q702","6160011","BU806","Recommended service part, critical component."
"⚠","Q901","6170031","2SC3507","Recommended service part, critical component."
"","IC601","6300122","TDA1170D","Recommended service part."
"","IC701","6300157","AN15790N","Recommended service part."
"⚠","IC901","6300323","TDA4601","Recommended service part, critical component."
"","D601","2600072","RGP10D","Recommended service part."
"","D701","6200177","RD. 1EB2 TA21R","Recommended service part."
"","D702","6200072","RGP10D","Recommended service part."
"","D703","6200072","RGP10D","Recommended service part."
"","D704","6200293","RGP30G","Recommended service part."
"","D705","6200072","RGP10D","Recommended service part."
"","D706","6200072","RGP10D","Recommended service part."
"⚠","D707","6200120","DRB26-20","Recommended service part."
"","D708","6200072","RGP10D","Recommended service part."
"","LED","6200316","LED. DLG-2513D2","Recommended service part."
"⚠","D901","6200222","RB-156 (BRIDGE)","Recommended service part."
"","D902","6200290","IN4006GP","Recommended service part."
"","D903","6200292","IN4935GP","Recommended service part."
"","D904","6200292","IN4935GP","Recommended service part."
"","D905","6200291","IN4933GP","Recommended service part."
"","D906","6200266","RGP10G, FAST RECOVERY","Recommended service part."
"","D930","6220017","RGP15D","Recommended service part."
"","D931","6220017","RGP15D","Recommended service part."